artist,song,index,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
Bruno Mars,24K Magic,0,0.034,0.818,225983.0,0.803,"['dance pop', 'pop', 'post-teen pop']",0.0,1.0,0.153,-4.282,1.0,84.0,0.0797,106.97,4.0,0.632,
Bruno Mars,That's What I Like,2,0.013,0.853,206693.0,0.56,"['dance pop', 'pop', 'post-teen pop']",0.0,1.0,0.0944,-4.961,1.0,84.0,0.0406,134.066,4.0,0.86,
Bruno Mars,Finesse (Remix) [feat. Cardi B],1,0.0185,0.704,217289.0,0.859,"['dance pop', 'pop', 'post-teen pop']",0.0,5.0,0.0215,-4.877,0.0,84.0,0.0996,105.115,4.0,0.926,
Bryson Tiller,Run Me Dry,2,0.393,0.646,169267.0,0.756,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",3.23e-05,9.0,0.202,-9.017,0.0,75.0,0.487,193.881,4.0,0.596,
Bryson Tiller,No Longer Friends,1,0.205,0.652,134747.0,0.663,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",0.0,11.0,0.105,-7.78,1.0,75.0,0.326,114.133,4.0,0.377,
Bryson Tiller,Don't Get Too High,0,0.0148,0.88,209040.0,0.495,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",1.47e-06,1.0,0.121,-3.476,1.0,75.0,0.0681,124.055,4.0,0.47,
Bryson Tiller,Somethin Tells Me,0,0.0356,0.735,194267.0,0.588,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",0.0,5.0,0.107,-7.197,0.0,75.0,0.226,90.002,4.0,0.434,
Bryson Tiller,Self-Made,3,0.00304,0.932,167853.0,0.702,"['indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",1.87e-05,7.0,0.267,-3.459,0.0,75.0,0.0903,143.001,4.0,0.53,
Burl Ives,A Holly Jolly Christmas - Single Version,1,0.616,0.674,135533.0,0.37,['christmas'],0.0,0.0,0.0781,-12.937,1.0,36.0,0.0309,140.352,4.0,0.862,
Calum Scott,Dancing On My Own,2,0.839,0.682,260285.0,0.173,['pop'],3.26e-05,1.0,0.0983,-8.749,1.0,72.0,0.0314,112.663,4.0,0.236,
Calvin Harris,Feels,0,0.0642,0.893,223413.0,0.745,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",0.0,11.0,0.0943,-3.105,0.0,86.0,0.0571,101.018,4.0,0.872,
Calvin Harris,One Kiss (with Dua Lipa),2,0.037,0.791,214847.0,0.862,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",2.19e-05,9.0,0.0814,-3.24,0.0,86.0,0.11,123.994,4.0,0.592,
Calvin Harris,Rollin,3,0.45,0.754,272667.0,0.762,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",6.67e-05,6.0,0.224,-4.486,0.0,86.0,0.0849,92.002,4.0,0.673,
Calvin Harris,Faking It,3,0.319,0.776,240093.0,0.589,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",0.0,9.0,0.0715,-4.543,0.0,86.0,0.115,120.034,4.0,0.668,
Calvin Harris,Heatstroke,1,0.362,0.786,229640.0,0.735,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",0.0,0.0,0.176,-4.502,0.0,86.0,0.0495,110.124,4.0,0.747,
Calvin Harris,Slide,0,0.498,0.736,230813.0,0.795,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",1.21e-06,1.0,0.254,-3.299,0.0,86.0,0.0545,104.066,4.0,0.511,
Camila Cabello,Never Be the Same,3,0.181,0.637,226973.0,0.713,"['pop', 'post-teen pop']",0.000637,0.0,0.137,-4.333,1.0,82.0,0.0747,129.923,4.0,0.243,
Camila Cabello,Crying in the Club,1,0.334,0.334,216391.0,0.617,"['pop', 'post-teen pop']",0.0,6.0,0.163,-5.834,0.0,82.0,0.383,85.227,4.0,0.603,
Camila Cabello,OMG,0,0.0295,0.655,228893.0,0.576,"['pop', 'post-teen pop']",0.115,5.0,0.132,-6.735,0.0,82.0,0.0536,139.953,4.0,0.167,
Camila Cabello,Havana,2,0.184,0.765,217307.0,0.523,"['pop', 'post-teen pop']",3.56e-05,2.0,0.132,-4.333,1.0,82.0,0.03,104.988,4.0,0.394,
Cardi B,Ring (feat. Kehlani),2,0.049,0.767,177140.0,0.543,['pop'],0.0,1.0,0.115,-7.881,0.0,90.0,0.103,106.029,4.0,0.485,
