,artist,song,num_weeks,index_y,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
87,carrie underwood,cry pretty,4,3,0.00495,0.351,246467,0.736,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",0,6,0.109,-3.318,1,70,0.0459,140.299,3,0.237,
622,charlie puth,done for me (feat. kehlani),9,0,0.193,0.856,180493,0.632,"['pop', 'post-teen pop', 'viral pop']",0,6,0.0688,-3.692,0,81,0.074,112.009,4,0.697,
91,charlie puth,how long,23,1,0.211,0.845,200853,0.561,"['pop', 'post-teen pop', 'viral pop']",3.49E-06,1,0.0383,-5.253,0,81,0.0778,109.974,4,0.811,
90,charlie puth,attention,39,3,0.109,0.775,208787,0.613,"['pop', 'post-teen pop', 'viral pop']",2.33E-05,3,0.134,-4.586,0,81,0.0542,100.066,4,0.797,
623,cheat codes,no promises (feat. demi lovato),23,2,0.0572,0.739,222787,0.619,"['dance pop', 'edm', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",0,10,0.105,-6.669,1,78,0.162,112.961,4,0.58,
93,childish gambino,this is america,9,0,0.117,0.854,225773,0.463,"['hip hop', 'pop rap', 'rap']",0,5,0.354,-6.159,1,82,0.137,120.024,4,0.549,
92,childish gambino,redbone,35,3,0.199,0.743,326933,0.359,"['hip hop', 'pop rap', 'rap']",0.00611,1,0.137,-10.401,1,82,0.0794,160.083,4,0.587,
624,chloe kohanski,wish i didn’t love you - the voice performance,1,3,0.835,0.468,220630,0.343,['deep talent show'],0,10,0.117,-5.57,1,34,0.0355,129.586,4,0.326,
625,chloe kohanski,total eclipse of the heart - the voice performance,1,2,0.0223,0.533,181795,0.734,['deep talent show'],0,5,0.273,-5.226,1,34,0.027,134.067,3,0.327,
626,chris blue,money on you - the voice performance,1,0,0.0234,0.628,194663,0.718,[],0,0,0.154,-5.92,1,27,0.0434,100.979,4,0.483,
97,chris brown,questions,13,1,0.00543,0.614,129478,0.598,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0,10,0.1,-6.335,0,85,0.0561,105.803,4,0.565,
96,chris brown,privacy,17,0,0.153,0.741,220964,0.58,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0,0,0.109,-7.741,1,85,0.378,97.092,4,0.428,
98,chris brown,tempo,4,2,0.192,0.769,218744,0.482,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0,10,0.0903,-7.205,1,85,0.0502,120.959,4,0.487,
94,chris brown,high end,2,1,0.0144,0.725,202214,0.503,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",1.52E-06,10,0.124,-5.646,1,85,0.209,153.047,4,0.0636,
95,chris brown,party,14,2,0.0556,0.762,220813,0.576,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0,1,0.0869,-4.951,0,85,0.0829,142.096,4,0.316,
627,chris brown,pills & automobiles,19,3,0.119,0.82,292910,0.696,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0,7,0.231,-4.918,0,85,0.182,144.981,4,0.617,
99,chris janson,fix a drink,14,3,0.0297,0.563,188933,0.887,"['contemporary country', 'country road', 'lift kit', 'modern country rock', 'redneck']",0,1,0.352,-5.013,1,59,0.0857,158.05,4,0.794,
